year-month,tourists
2013-01,60612
2013-02,53433
2013-03,55025
2013-04,51328
2013-05,62083
2013-06,61644
2013-07,61373
2013-08,60413
2013-09,65219
2013-10,73834
2013-11,73155
2013-12,82252
2014-01,71764
2014-02,62968
2014-03,72592
2014-04,71809
2014-05,100709
2014-06,94811
2014-07,77743
2014-08,76182
2014-09,77842
2014-10,76661
2014-11,54620
2014-12,77270
2015-01,65583
2015-02,68675
2015-03,76684
2015-04,81020
2015-05,120918
2015-06,98052
2015-07,81934
2015-08,86559
2015-09,75990
2015-10,79330
2015-11,86714
2015-12,91849
2016-01,84400
2016-02,72581
2016-03,90195
2016-04,76444
2016-05,110356
2016-06,104631
2016-07,87057
2016-08,89518
2016-09,78429
2016-10,80623
2016-11,84999
2016-12,91656
2017-01,70072
2017-02,59927
2017-03,73126
2017-04,71650
2017-05,94105
2017-06,80751
2017-07,71630
2017-08,74983
2017-09,75895
2017-10,86461
2017-11,83495
2017-12,90508
